ImageId,LabelId,Confidence,PixelCount,EncodedPixels
001bbdb5c4f43bd4dc2b3e3a08b7202a,35,0.2547729313,34,174 6|279 5
001bbdb5c4f43bd4dc2b3e3a08b7202a,36,0.216290608,15,71 4|277 3
00457f3fa7e5ae64cdeeca1903b58640,35,0.284709692,220,242 17|267 12
00457f3fa7e5ae64cdeeca1903b58640,33,0.0774497315,2537,3 36|239 69
00474e4eeba7484a666283ee56fc29e9,36,0.570456028,22,170 5|265 3
00474e4eeba7484a666283ee56fc29e9,35,0.5600609779,21,137 5|267 3
00474e4eeba7484a666283ee56fc29e9,35,0.2355894297,35,205 10|278 3
008010ef220d33763925e76f9690d1d2,36,0.456045717,18,331 6|276 2
0092bd2ac3c2be679c27811ecb33990e,36,0.9847433567,14,168 4|275 3
0092bd2ac3c2be679c27811ecb33990e,36,0.5794872642,15,134 5|283 2
0092bd2ac3c2be679c27811ecb33990e,36,0.434746623,16,72 5|275 3
0092bd2ac3c2be679c27811ecb33990e,36,0.2983953953,17,232 5|279 2
0092bd2ac3c2be679c27811ecb33990e,36,0.1575270146,13,101 4|279 2
00b0771c6db96968743e87650a6da31f,36,0.6132317185,34,302 8|271 3
00b0771c6db96968743e87650a6da31f,36,0.4513097703,19,201 5|267 3
00b0771c6db96968743e87650a6da31f,36,0.3191744387,15,232 5|280 3
00b0771c6db96968743e87650a6da31f,36,0.1192762032,24,333 6|279 4
00b0771c6db96968743e87650a6da31f,36,0.094648242,16,263 5|282 2
00bd49caf55181c9582d91044ad1e368,36,0.9418064356,17,199 5|273 2
00bd49caf55181c9582d91044ad1e368,36,0.672799468,13,167 4|267 2
00bd49caf55181c9582d91044ad1e368,35,0.0921223089,13,135 5|278 2
00e6aa03116defedd6baa53ded34d3af,36,0.8393922448,13,108 4|280 2
00e6aa03116defedd6baa53ded34d3af,33,0.5584771037,3368,6 63|278 52
00e6aa03116defedd6baa53ded34d3af,36,0.2643157542,10,74 4|275 2
00ecec0813d62e083ff7b429cf2ccee0,35,0.9315282702,36,369 8|272 4
00ecec0813d62e083ff7b429cf2ccee0,36,0.8123270869,10,296 4|283 2
00ecec0813d62e083ff7b429cf2ccee0,36,0.600389421,16,204 5|275 3
00ecec0813d62e083ff7b429cf2ccee0,33,0.4863343239,1967,27 27|229 71
00ecec0813d62e083ff7b429cf2ccee0,33,0.4105755687,1697,106 26|250 63
00ecec0813d62e083ff7b429cf2ccee0,36,0.0749989301,21,166 6|281 3
010c65569a2b954e37374a90c4aaed1b,36,0.8254064322,25,331 6|260 3
010c65569a2b954e37374a90c4aaed1b,35,0.6968064308,22,174 6|270 3
010c65569a2b954e37374a90c4aaed1b,33,0.4891836941,14,265 4|275 2
